Frame 0, Rot 0, Dist 0; 
Frame 403, Rot 0.00288234, Dist 0.00873762; 
Frame 404, Rot 0.00167723, Dist 0.00625394; 
Frame 405, Rot 0.00347053, Dist 0.00835006; 
Frame 406, Rot 0.00815522, Dist 0.00740921; 
Frame 407, Rot 0.00680812, Dist 0.00624053; 
Frame 408, Rot 0.00194881, Dist 0.00516686; 
Frame 409, Rot 0.00328202, Dist 0.00741222; 
Frame 410, Rot 0.00425899, Dist 0.00303285; 
Frame 411, Rot 0.00275073, Dist 0.00687792; 
Frame 412, Rot 0.00321259, Dist 0.00578805; 
Frame 413, Rot 0.00237494, Dist 0.00362452; 
Frame 414, Rot 0.0012982, Dist 0.00703018; 
Frame 415, Rot 0.00486382, Dist 0.0111023; 
Frame 416, Rot 0.00330967, Dist 0.00396106; 
Frame 417, Rot 0.00261561, Dist 0.00483907; 
Frame 418, Rot 0.00623137, Dist 0.0170723; 
Frame 419, Rot 0.00164415, Dist 0.00571743; 
Frame 420, Rot 0.00235185, Dist 0.00193715; 
Frame 421, Rot 0.00460694, Dist 0.00664863; 
Frame 422, Rot 0.00217789, Dist 0.00249224; 
Frame 423, Rot 0.00257157, Dist 0.00767065; 
Frame 424, Rot 0.00364618, Dist 0.000674101; 
Frame 425, Rot 0.000381583, Dist 0.0017124; 
Frame 426, Rot 0.00455878, Dist 0.0130134; 
Frame 427, Rot 0.000825091, Dist 0.0043888; 
Frame 428, Rot 0.00189942, Dist 0.00816154; 
Frame 429, Rot 0.00808049, Dist 0.0146231; 
Frame 430, Rot 0.00229121, Dist 0.0027444; 
Frame 431, Rot 0.0152562, Dist 0.00853016; 
Frame 432, Rot 0.00113179, Dist 0.00113984; 
Frame 433, Rot 0.00157822, Dist 0.00251256; 
Frame 434, Rot 0.00284492, Dist 0.00276856; 
Frame 435, Rot 0.00126892, Dist 0.00645246; 
Frame 436, Rot 0.00238464, Dist 0.00578068; 
Frame 437, Rot 0.00236282, Dist 0.00306038; 
Frame 438, Rot 0.000874992, Dist 0.00362824; 
Frame 439, Rot 0.00209324, Dist 0.00416354; 
Frame 440, Rot 0.0100097, Dist 0.0115255; 
Frame 441, Rot 0.0144091, Dist 0.00318239; 
Frame 442, Rot 0.00123395, Dist 0.00546493; 
Frame 443, Rot 0.00474232, Dist 0.00658454; 
Frame 444, Rot 0.00465927, Dist 0.00385543; 
Frame 445, Rot 0.00201484, Dist 0.00165909; 
Frame 446, Rot 0.000816656, Dist 0.00469324; 
Frame 447, Rot 0.00160381, Dist 0.00726591; 
Frame 448, Rot 0.00398961, Dist 0.00218746; 
Frame 449, Rot 0.000867566, Dist 0.00359285; 
Frame 450, Rot 0.0041093, Dist 0.0147913; 
Frame 451, Rot 0.00421542, Dist 0.00220418; 
Frame 452, Rot 0.00400652, Dist 0.0144015; 
Frame 453, Rot 0.00156273, Dist 0.00400352; 
Frame 454, Rot 0.00359603, Dist 0.0103812; 
Frame 455, Rot 0.00146592, Dist 0.00218727; 
Frame 456, Rot 0.00531349, Dist 0.00221963; 
Frame 457, Rot 0.000845231, Dist 0.0111053; 
Frame 458, Rot 0.00205377, Dist 0.00536165; 
Frame 459, Rot 0.00482528, Dist 0.0121123; 
Frame 460, Rot 0.00276006, Dist 0.00321422; 
Frame 461, Rot 0.00106638, Dist 0.00259065; 
Frame 462, Rot 0.00120709, Dist 0.0314328; 
Frame 463, Rot 0.00334044, Dist 0.00408858; 
Frame 464, Rot 0.00268241, Dist 0.00681139; 
Frame 465, Rot 0.00170258, Dist 0.00491381; 
Frame 466, Rot 0.00245373, Dist 0.00748614; 
Frame 467, Rot 0.00442569, Dist 0.00960046; 
Frame 468, Rot 0.00388478, Dist 0.00392708; 
Frame 469, Rot 0.00723426, Dist 0.0149388; 
Frame 470, Rot 0.00295124, Dist 0.00800415; 
Frame 471, Rot 0.0044685, Dist 0.00640014; 
Frame 472, Rot 0.00225181, Dist 0.00673551; 
Frame 473, Rot 0.00583858, Dist 0.0130939; 
Frame 474, Rot 0.00483244, Dist 0.0096701; 
Frame 475, Rot 0.00202122, Dist 0.00470749; 
Frame 476, Rot 0.00135497, Dist 0.0073377; 
Frame 477, Rot 0.0022615, Dist 0.00310482; 
Frame 478, Rot 0.00113192, Dist 0.00475726; 
Frame 479, Rot 0.00246865, Dist 0.00789377; 
Frame 480, Rot 0.00358515, Dist 0.00135045; 
Frame 481, Rot 0.00433234, Dist 0.00810198; 
Frame 482, Rot 0.00281856, Dist 0.00943586; 
Frame 482, Rot 1.94455, Dist 0.472928; 
Frame 483, Rot 1.94535, Dist 0.476084; 
Frame 483, Rot 1.94538, Dist 0.477952; 
Frame 484, Rot 1.94518, Dist 0.476616; 
Frame 484, Rot 1.94551, Dist 0.476258; 
Frame 485, Rot 1.94547, Dist 0.471819; 
Frame 485, Rot 1.94503, Dist 0.473453; 
Frame 486, Rot 1.94524, Dist 0.476048; 
Frame 486, Rot 1.94557, Dist 0.483135; 
Frame 487, Rot 1.94544, Dist 0.477004; 
Frame 487, Rot 1.94538, Dist 0.476064; 
Frame 488, Rot 1.94568, Dist 0.474711; 
Frame 488, Rot 1.94541, Dist 0.494785; 
Frame 489, Rot 1.94525, Dist 0.490846; 
Frame 489, Rot 1.94619, Dist 0.481287; 
